,Retorno,Risco,Sharpe,PETZ3.SA Peso,VIVA3.SA Peso,VIIA3.SA Peso,AZUL4.SA Peso
217,-0.11383600408944947,0.4745977387174021,-0.23985787289482388,0.048,0.62,0.243,0.088
218,-0.1665034053633508,0.544958815444181,-0.30553392411431757,0.078,0.418,0.095,0.41
219,-0.2346798906695396,0.5729364879101532,-0.40960891062386245,0.112,0.241,0.342,0.305
220,-0.3974803667785151,0.5219274913413888,-0.7615624265297154,0.402,0.313,0.007,0.277
221,-0.37099718240643603,0.5829649885447261,-0.6363970215991324,0.311,0.162,0.098,0.43
222,-0.40651399136736704,0.57974837632614,-0.7011903921895261,0.336,0.132,0.381,0.152
223,-0.26380831985968617,0.6020831947982421,-0.4381592479891226,0.124,0.168,0.493,0.215
224,-0.21825585349166812,0.5753280193859361,-0.3793589850266962,0.09,0.289,0.504,0.117
225,-0.18070715725378117,0.6587033733070394,-0.27433768305532674,0.014,0.158,0.233,0.595
226,-0.3295598086339323,0.578594220689876,-0.5695871075950047,0.23,0.16,0.36,0.25
227,-0.39258995369963096,0.6501301624931778,-0.6038636204696173,0.265,0.012,0.599,0.124
228,-0.1462767311254305,0.6092680807144919,-0.24008599129941452,0.013,0.31,0.137,0.541
229,-0.2876933085030765,0.5625560138544459,-0.5114038449822944,0.19,0.227,0.306,0.278
230,-0.25355882676492125,0.6113284313145777,-0.41476694649990004,0.14,0.193,0.147,0.52
231,-0.264038957627219,0.5322821443712319,-0.4960507513155827,0.204,0.349,0.106,0.342
232,-0.22871093705024,0.519415314685082,-0.44032382292945277,0.161,0.392,0.148,0.298
233,-0.40818097647319707,0.5321985127155796,-0.7669712836859042,0.394,0.252,0.097,0.256
234,-0.2612590831097192,0.5115486438271833,-0.5107218761349711,0.202,0.381,0.213,0.204
235,-0.2503900709153395,0.6056300860252251,-0.41343730553192914,0.118,0.168,0.285,0.43
236,-0.26917966226754736,0.5560632143721217,-0.4840810456622119,0.177,0.26,0.235,0.328
237,-0.32018467420537094,0.5242154073946739,-0.6107883699883486,0.281,0.324,0.11,0.286
238,-0.1469437982482939,0.5651454853521831,-0.2600105672908677,0.006,0.336,0.365,0.293
239,-0.28834323670348744,0.49420205722627103,-0.5834521173825651,0.257,0.424,0.194,0.124
240,-0.3396857904884507,0.6269275066836583,-0.5418262667805593,0.211,0.041,0.352,0.396
241,-0.22271479610535588,0.4508828590647127,-0.4939526789005542,0.233,0.654,0.081,0.032
242,-0.40593893646654194,0.621587432045929,-0.6530681212945553,0.298,0.011,0.41,0.281
243,-0.27588431676681513,0.6506636417280878,-0.4240045072045183,0.106,0.075,0.626,0.192
244,-0.16719694521693604,0.524459191244427,-0.3187987702536288,0.066,0.417,0.282,0.235
245,-0.3079755511949136,0.5385693749152168,-0.5718400739800624,0.239,0.301,0.352,0.109
246,-0.2587486404084499,0.5253404052658032,-0.49253519777815774,0.185,0.368,0.348,0.099
247,-0.26720649309061156,0.5664289459969531,-0.4717387679054963,0.162,0.232,0.29,0.316
248,-0.3168959623533226,0.5023873858068797,-0.6307800938201483,0.288,0.387,0.207,0.118
249,-0.2186672014662916,0.5445146645593002,-0.4015818410386957,0.132,0.348,0.154,0.367
250,-0.2994224787762492,0.6034008110631449,-0.4962248530105392,0.176,0.123,0.328,0.373
251,-0.38329850269785376,0.564921161967286,-0.6784991048362429,0.329,0.174,0.156,0.342
252,-0.2889815773405809,0.5083465528467076,-0.5684735653705191,0.244,0.398,0.281,0.077
253,-0.24255821852623202,0.5269950916024555,-0.46026656109580705,0.188,0.392,0.06,0.359
254,-0.26361685753531894,0.5181774354762392,-0.5087385893078067,0.209,0.373,0.13,0.288
255,-0.34760943575291803,0.571646873415314,-0.6080842070842084,0.264,0.163,0.275,0.298
256,-0.25275570105855694,0.5684264030098003,-0.4446586219785416,0.17,0.288,0.098,0.444
257,-0.417597581518923,0.5296881306486029,-0.7883838760131834,0.403,0.25,0.163,0.183
258,-0.23238991442127166,0.5703133682507113,-0.40747758575968085,0.145,0.306,0.092,0.457
